dataset,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count
ag_news,64,256,500,2000,415,20260830,constant_001,constant,constant,0.001,0.506,0.42419926883499004,1.376952074537339,0.013653643999987253,39,0
ag_news,64,256,500,2000,415,20260830,invscaling_001,invscaling,invscaling,0.001,0.6865,0.6790666375121122,1.3862043305246097,0.012001531999885628,6,0
ag_news,64,256,500,2000,415,20260830,adaptive_001,adaptive,adaptive,0.001,0.5085,0.42745812932854477,1.3765514455017014,0.015118838000034884,64,0
ag_news,64,256,500,2000,415,20260830,optimal_builtin,optimal,optimal,0.001,0.6875,0.684732933650468,1.0249872944109957,0.013350012000046263,9,0
ag_news,64,256,500,2000,415,20260830,constant_01,constant,constant,0.01,0.7085,0.7034606924142762,1.0174054317213497,0.022173722999923484,162,0
ag_news,64,256,500,2000,415,20260830,adaptive_01,adaptive,adaptive,0.01,0.7085,0.7034606924142762,1.015897890905639,0.024599016999900414,192,0
ag_news,64,256,500,2000,509,20260830,constant_001,constant,constant,0.001,0.36,0.28784186231375597,1.3767420309044947,0.013020793000123376,38,0
ag_news,64,256,500,2000,509,20260830,invscaling_001,invscaling,invscaling,0.001,0.656,0.652920913400328,1.386201588122862,0.01219708400003583,6,0
ag_news,64,256,500,2000,509,20260830,adaptive_001,adaptive,adaptive,0.001,0.37,0.3015747691564672,1.3763290785818068,0.015082613999993555,63,0
ag_news,64,256,500,2000,509,20260830,optimal_builtin,optimal,optimal,0.001,0.7325,0.7300089954512176,0.8875312685739797,0.01193736799996259,9,0
ag_news,64,256,500,2000,509,20260830,constant_01,constant,constant,0.01,0.7425,0.7394740643385321,0.9997146957335618,0.02196153999989292,165,0
ag_news,64,256,500,2000,509,20260830,adaptive_01,adaptive,adaptive,0.01,0.7425,0.7394740643385321,0.9981182813897002,0.02439177899987044,195,0
ag_news,128,512,500,2000,14,20260830,constant_001,constant,constant,0.001,0.764,0.7608668715814513,1.344762928960388,0.03191332500000499,80,0
