dataset,n_samples,n_features,n_classes,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
wine,178,13,3,8,24,154,52,adaptive_003,adaptive,adaptive,0.003,0.961038961038961,0.9610500610500609,0.2877839369625374,0.001508921995991841,121,0,PASS
wine,178,13,3,8,24,154,88,constant_0003,constant,constant,0.0003,0.9415584415584416,0.9460013237791015,0.5958806250169983,0.001638100999116432,174,0,PASS
wine,178,13,3,8,24,154,88,constant_001,constant,constant,0.001,0.9285714285714286,0.9333314059568782,0.4139406085198229,0.0015201989954221062,140,0,PASS
wine,178,13,3,8,24,154,88,constant_003,constant,constant,0.003,0.9415584415584416,0.9462958442628562,0.31261108722357345,0.0014042949987924658,99,0,PASS
wine,178,13,3,8,24,154,88,invscaling_0003,invscaling,invscaling,0.0003,0.9090909090909091,0.9151155327342747,1.0918326138700878,0.001158992003183812,7,0,PASS
wine,178,13,3,8,24,154,88,invscaling_001,invscaling,invscaling,0.001,0.8961038961038961,0.9017857993237772,1.0640018205483701,0.0012495890041464008,18,0,PASS
wine,178,13,3,8,24,154,88,invscaling_003,invscaling,invscaling,0.003,0.8961038961038961,0.9017857993237772,0.9321024366865832,0.0013264730005175807,62,0,PASS
wine,178,13,3,8,24,154,88,adaptive_0003,adaptive,adaptive,0.0003,0.9415584415584416,0.9460013237791015,0.5943022822590154,0.001653513994824607,194,0,PASS
wine,178,13,3,8,24,154,88,adaptive_001,adaptive,adaptive,0.001,0.9285714285714286,0.9333314059568782,0.41239786723145205,0.001581082004122436,165,0,PASS
wine,178,13,3,8,24,154,88,adaptive_003,adaptive,adaptive,0.003,0.9415584415584416,0.9462958442628562,0.31107023072223106,0.0015088199943420477,124,0,PASS
wine,178,13,3,8,24,154,121,constant_0003,constant,constant,0.0003,0.935064935064935,0.9388918622728547,0.6291674405437216,0.0018463779997546226,161,0,PASS
wine,178,13,3,8,24,154,121,constant_001,constant,constant,0.001,0.9545454545454546,0.9566857515743932,0.44119998463640747,0.0015148670063354075,132,0,PASS
wine,178,13,3,8,24,154,121,constant_003,constant,constant,0.003,0.9545454545454546,0.9566857515743932,0.3141680192076795,0.001378362998366356,102,0,PASS
wine,178,13,3,8,24,154,121,invscaling_0003,invscaling,invscaling,0.0003,0.9090909090909091,0.913836762981128,1.0919362213550627,0.00119441300194012,7,0,PASS
wine,178,13,3,8,24,154,121,invscaling_001,invscaling,invscaling,0.001,0.9025974025974026,0.9078190428856251,1.062202113517486,0.0013842480038874783,21,0,PASS
