dataset,train_split,eval_split,train_per_class,train_rows,test_per_class_cap,test_rows,seed,test_selection_seed,schedule,schedule_family,learning_rate,eta0,accuracy,macro_f1,log_loss,fit_seconds,n_iter,convergence_warning_count,status
ag_news,train,test,64,256,500,2000,121,20260801,adaptive_001,adaptive,adaptive,0.001,0.6385,0.6176048666451244,1.3769887686372935,0.016283805991406552,57,0,PASS
ag_news,train,test,64,256,500,2000,121,20260801,optimal_builtin,optimal,optimal,0.001,0.6805,0.6772410472152502,1.0766919902744085,0.012822773001971655,9,0,PASS
ag_news,train,test,64,256,500,2000,121,20260801,constant_01,constant,constant,0.01,0.7095,0.7059853128474975,1.0250013061187824,0.023727471008896828,162,0,PASS
ag_news,train,test,64,256,500,2000,121,20260801,adaptive_01,adaptive,adaptive,0.01,0.7095,0.7059853128474975,1.023552902314152,0.025983963991166092,192,0,PASS
ag_news,train,test,64,256,500,2000,169,20260801,constant_001,constant,constant,0.001,0.4845,0.47979371990473313,1.373596601945617,0.015104559002793394,43,0,PASS
ag_news,train,test,64,256,500,2000,169,20260801,invscaling_001,invscaling,invscaling,0.001,0.669,0.6697202280454174,1.386199818801705,0.013625563005916774,6,0,PASS
ag_news,train,test,64,256,500,2000,169,20260801,adaptive_001,adaptive,adaptive,0.001,0.4935,0.4900563401732675,1.373167911864384,0.017530207012896426,68,0,PASS
ag_news,train,test,64,256,500,2000,169,20260801,optimal_builtin,optimal,optimal,0.001,0.7005,0.6991113557527042,1.0217701423619026,0.013185546995373443,9,0,PASS
ag_news,train,test,64,256,500,2000,169,20260801,constant_01,constant,constant,0.01,0.719,0.7171073771613052,1.005709110647291,0.02502121099678334,161,0,PASS
ag_news,train,test,64,256,500,2000,169,20260801,adaptive_01,adaptive,adaptive,0.01,0.719,0.7170829457470365,1.004233343235199,0.026633499990566634,191,0,PASS
ag_news,train,test,64,256,500,2000,203,20260801,constant_001,constant,constant,0.001,0.4445,0.38403288872885083,1.3766349753334821,0.01586244799545966,45,0,PASS
ag_news,train,test,64,256,500,2000,203,20260801,invscaling_001,invscaling,invscaling,0.001,0.671,0.6665462980260581,1.386202362097556,0.01279549699393101,6,0,PASS
ag_news,train,test,64,256,500,2000,203,20260801,adaptive_001,adaptive,adaptive,0.001,0.455,0.3974310955046073,1.3762365043042146,0.016366473006200977,70,0,PASS
ag_news,train,test,64,256,500,2000,203,20260801,optimal_builtin,optimal,optimal,0.001,0.693,0.6911845060429405,1.0279194649054348,0.01275085199449677,9,0,PASS
ag_news,train,test,64,256,500,2000,203,20260801,constant_01,constant,constant,0.01,0.712,0.7090841454680854,1.0191011576484048,0.02378125699760858,162,0,PASS
