dataset,train_per_class,train_rows,test_rows,seed,schedule,schedule_family,learning_rate,eta0,power_t,n_iter,t_,final_learning_rate,final_learning_rate_note,test_log_loss,test_macro_f1,convergence_warning_count,max_iter,tol,alpha,class_weight
wine,8,24,154,509,constant_001,constant,constant,0.001,0.5,140,3361.0,0.001,constant eta0,0.4168291691784957,0.9378094472162615,0,1000,0.001,0.0001,balanced
wine,8,24,154,14,constant_003,constant,constant,0.003,0.5,94,2257.0,0.003,constant eta0,0.3310319090982116,0.9764924218991649,0,1000,0.001,0.0001,balanced
wine,8,24,154,52,constant_003,constant,constant,0.003,0.5,96,2305.0,0.003,constant eta0,0.289569783405193,0.9610500610500609,0,1000,0.001,0.0001,balanced
wine,8,24,154,88,constant_003,constant,constant,0.003,0.5,99,2377.0,0.003,constant eta0,0.31261108722357345,0.9462958442628562,0,1000,0.001,0.0001,balanced
wine,8,24,154,121,constant_003,constant,constant,0.003,0.5,102,2449.0,0.003,constant eta0,0.3141680192076795,0.9566857515743932,0,1000,0.001,0.0001,balanced
wine,8,24,154,169,constant_003,constant,constant,0.003,0.5,100,2401.0,0.003,constant eta0,0.33119747005655736,0.9499447807198131,0,1000,0.001,0.0001,balanced
wine,8,24,154,203,constant_003,constant,constant,0.003,0.5,101,2425.0,0.003,constant eta0,0.3066479528122099,0.9497766131848796,0,1000,0.001,0.0001,balanced
wine,8,24,154,247,constant_003,constant,constant,0.003,0.5,104,2497.0,0.003,constant eta0,0.2841181579120571,0.9610500610500609,0,1000,0.001,0.0001,balanced
wine,8,24,154,314,constant_003,constant,constant,0.003,0.5,106,2545.0,0.003,constant eta0,0.3020761499052055,0.9676939290760429,0,1000,0.001,0.0001,balanced
wine,8,24,154,415,constant_003,constant,constant,0.003,0.5,100,2401.0,0.003,constant eta0,0.2983036317798682,0.9617613310384394,0,1000,0.001,0.0001,balanced
wine,8,24,154,509,constant_003,constant,constant,0.003,0.5,109,2617.0,0.003,constant eta0,0.2952432569760072,0.9557653477394595,0,1000,0.001,0.0001,balanced
wine,8,24,154,14,invscaling_0003,invscaling,invscaling,0.0003,0.5,8,193.0,2.1594472522460836e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0916842935052162,0.9116984631690513,0,1000,0.001,0.0001,balanced
wine,8,24,154,52,invscaling_0003,invscaling,invscaling,0.0003,0.5,8,193.0,2.1594472522460836e-05,"eta0 / (clf.t_ ** power_t), using sklearn update counter t_",1.0915570012401088,0.9349206349206348,0,1000,0.001,0.0001,balanced
